EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
45423,55.48250209999969,1011,
45424,55.48370830004569,1011,
45425,55.48471960000461,1010,
45426,55.48625830002129,369,
45427,55.48721170000499,5,
45428,55.48837239999557,5,
45429,55.490461500012316,5,
45430,55.491173300019,5,
45431,55.49241669999901,5,
45432,55.49338810000336,6,
45433,55.494882000028156,6,
45434,55.49615640001139,300,
45435,55.497304400021676,1010,
45436,55.49888450000435,1011,
45437,55.49977230001241,1011,
45438,55.50061840005219,1011,
45439,55.50266580004245,1011,
45440,55.50359540001955,1010,
45441,55.50478890002705,1010,
45442,55.50669910002034,407,
45443,55.50783690001117,6,
45444,55.508853400009684,6,
45445,55.50975050003035,5,
45446,55.51121000002604,5,
45447,55.51213630003622,5,
45448,55.51330600003712,6,
45449,55.51539750001393,6,
45450,55.51644760003546,337,
45451,55.51735290000215,1011,
45452,55.51896640000632,1011,
45453,55.52016020001611,1011,
45454,55.52194340003189,1011,
45455,55.5236511999974,1011,
45456,55.52530520001892,1011,
45457,55.52659260004293,1010,
45458,55.52782840002328,506,
45459,55.52893770002993,6,
45460,55.52990399999544,5,
45461,55.530956600036006,5,
45462,55.5322932000272,5,
45463,55.53339739999501,5,
45464,55.534364800027106,5,
45465,55.53519130003406,6,
45466,55.53645509999478,324,
45467,55.5375486999983,1011,
45468,55.53883330000099,1011,
45469,55.54051790002268,1011,
45470,55.54136190004647,1011,
45471,55.54230640002061,1011,
45472,55.543634700006805,1010,
45473,55.544632800039835,1011,
45474,55.545777500025,570,
45475,55.54804800002603,6,
45476,55.54894599999534,5,
45477,55.55015439999988,5,
45478,55.55107470002258,5,
45479,55.55214640003396,4,
45480,55.55312380002579,5,
45481,55.55397930002073,5,
45482,55.55593810003484,186,
45483,55.55725720000919,1011,
45484,55.558351600018796,1011,
45485,55.560091000050306,1011,
45486,55.561137500044424,1011,
45487,55.56222290004371,1011,
45488,55.5643838000251,1011,
45489,55.5653385000187,1010,
45490,55.56627520004986,570,
45491,55.5680334000499,6,
45492,55.56899230001727,5,
45493,55.5699446000508,5,
45494,55.57086400000844,5,
45495,55.57242540002335,5,
45496,55.57354440004565,5,
45497,55.574461100040935,5,
45498,55.576339600025676,258,
45499,55.57733570004348,1011,
45500,55.57828920002794,1011,
45501,55.5804983000271,1011,
45502,55.58127780002542,1011,
45503,55.58227390004322,1011,
45504,55.58448940003291,1011,
45505,55.58543830004055,1010,
45506,55.5863820000086,536,
45507,55.58724620001158,6,
45508,55.58866720000515,5,
45509,55.58997950004414,5,
45510,55.59106120001525,5,
45511,55.5926812000107,5,
45512,55.59362310002325,6,
45513,55.59472420002567,6,
45514,55.59575420001056,133,
45515,55.59736250003334,1010,
45516,55.59841450001113,1011,
45517,55.59941260004416,1011,
45518,55.600922400015406,1011,
45519,55.601982000051066,1010,
45520,55.60250110004563,1011,
45521,55.60545010003261,1010,
45522,55.60672219999833,489,
45523,55.60768559999997,6,
